unit,name,value,anchor
"people, at the 2020 census",Berkeley,124321,yes
"people, at the 2020 census",Alameda,78280,yes
"people, at the 2020 census",Sunnyvale,155805,yes
"people, at the 2020 census",Santa Clara,127647,yes
"people, at the 2020 census",Palo Alto,68572,yes
"people, at the 2020 census",San Francisco,873965,yes
"people, at the 2020 census",Alameda County,1682353,yes
"square miles, total area",Fremont,92,yes
"square miles, total area",Newark,14,yes
"square miles, total area",Union City,20,yes
"square miles, total area",Hayward,64,yes
"square miles, total area",San José,180,yes
"square miles, total area",Oakland,78,yes
"square miles, total area",San Francisco,232,yes
"square miles, total area",Berkeley,18,yes
"square miles, total area",Milpitas,14,yes
"square miles, total area",Alameda County,821,yes
"square miles, total area",Livermore,26,yes
"square miles, total area",Pleasanton,24,yes
years it ran under that name,NUMMI,26,yes
years it ran under that name,GM Fremont Assembly,20,yes
years it ran under that name,The Essanay studio in Niles,4,yes
years it ran under that name,"Mission San José, as a working mission",37,yes
years it ran under that name,The first Dumbarton Bridge,57,
years it ran under that name,The Southern Pacific,131,
miles,"The Alameda Creek Trail, end to end",12,yes
miles,Niles Canyon Road,6,yes
miles,The Dumbarton Bridge,1.6,yes
miles,The San Mateo–Hayward Bridge,7,yes
miles,The Bay Bridge,4.5,yes
miles,The Golden Gate Bridge,1.7,yes
miles,"Alameda Creek, source to bay",45,yes
miles,Fremont BART to Downtown Berkeley,26,yes
miles,"Mission Peak trail, Stanford Avenue and back",6,yes
miles,The whole BART system,131,yes
feet,The Golden Gate Bridge towers,746,yes
feet,Salesforce Tower,1070,yes
feet,The Campanile at Berkeley,307,yes
feet,Coit Tower,210,yes
feet,The Transamerica Pyramid,853,yes
feet,Mission San José’s bell tower,60,yes
feet,"The Dumbarton Bridge, at its highest",85,
how many there are,California missions,21,yes
how many there are,Townships that became Fremont,5,yes
how many there are,Comprehensive high schools in Fremont,5,yes
how many there are,BART stations in Fremont,2,yes
how many there are,"BART stations, all of them",50,yes
how many there are,Bells at Mission San José,4,yes
how many there are,Counties in the Bay Area,9,yes
how many there are,Cities in Alameda County,14,yes
how many there are,Regional parks run by East Bay Parks,73,
how many there are,Chaplin pictures made in Niles,5,yes
